match_id,modelo,modelo_ganador_global,date,stage,group,home_team,away_team,lambda_home,lambda_away,factor_contexto_home,factor_contexto_away,prob_home_win,prob_draw,prob_away_win,prob_home_win_percent,prob_draw_percent,prob_away_win_percent,predicted_class
21,Regresion Lineal,False,2026-06-17,Group Stage,K,Portugal,DR Congo,2.640348195965299,0.9712910430790733,1.1025,1.1025,0.7233473401030616,0.16693888337156426,0.10971377652537415,72.33473401030615,16.693888337156427,10.971377652537415,H
22,Regresion Lineal,False,2026-06-17,Group Stage,L,England,Croatia,2.3440408975443403,1.002006401838216,1.1025,1.1025,0.6658949419211485,0.19463701770117556,0.13946804037767585,66.58949419211486,19.463701770117556,13.946804037767585,H
23,Regresion Lineal,False,2026-06-17,Group Stage,L,Ghana,Panama,1.2229893801841942,1.5128104497157182,1.1025,1.1025,0.29767293761536817,0.27233290903394014,0.4299941533506918,29.767293761536816,27.233290903394014,42.99941533506918,A
24,Regresion Lineal,False,2026-06-17,Group Stage,K,Uzbekistan,Colombia,0.7221649640662728,1.7910770135094005,1.1025,1.1025,0.1372211124517094,0.24173628135428038,0.6210426061940102,13.72211124517094,24.17362813542804,62.10426061940102,A
25,Regresion Lineal,False,2026-06-18,Group Stage,A,Czech Republic,South Africa,2.1413188767957436,1.359756019223392,1.1550000000000002,1.1550000000000002,0.5462616900645645,0.22099371137618484,0.23274459855925056,54.62616900645645,22.099371137618483,23.274459855925056,H
26,Regresion Lineal,False,2026-06-18,Group Stage,B,Switzerland,Bosnia and Herzegovina,2.3064080110219134,0.9962478294161328,1.1355750000000002,1.1355750000000002,0.6602029517425857,0.1978668861694078,0.14193016208800646,66.02029517425856,19.786688616940783,14.193016208800646,H
27,Regresion Lineal,False,2026-06-18,Group Stage,B,Canada,Qatar,2.0071481597114254,1.0695702962752838,1.1355750000000002,1.1355750000000002,0.5827473642605784,0.2286486796562282,0.18860395608319344,58.274736426057835,22.86486796562282,18.860395608319344,H
28,Regresion Lineal,False,2026-06-18,Group Stage,A,Mexico,South Korea,1.6807101052637397,1.165639818145278,1.0815000000000001,1.1355750000000002,0.4849781689048334,0.2594486480911383,0.255573183004028,48.49781689048334,25.94486480911383,25.557318300402798,H
29,Regresion Lineal,False,2026-06-19,Group Stage,D,United States,Australia,1.8679815807903124,1.3101840511718628,1.0815000000000001,1.0815000000000001,0.4969952324009995,0.24219562570422562,0.2608091418947751,49.69952324009995,24.21956257042256,26.08091418947751,H
30,Regresion Lineal,False,2026-06-19,Group Stage,C,Scotland,Morocco,0.5244020068418066,2.1740173272283774,1.1355750000000002,1.1355750000000002,0.06926157015699203,0.1812570054307948,0.7494814244122133,6.926157015699203,18.12570054307948,74.94814244122134,A
